Rank,Name,Nat.,20/09 Belgrade (SA),27/09 Gand (SA),04/10 Genève (SA),11/10 Split (SA),18/10 Dublin (SA),25/10 Barcelone (SA),05/12 Vancouver (A),09/01 Fujairah (A),24/01 Doha (GP),05/02 Heidenheim (A),26/03 Astana (A),17/04 Budapest (GP),08/05 Medellín (GP),22/05 Berne (A),01/06 Abidjan (CHZ),16/06 Lima (CHZ),16/06 Antony (CHZ),20/06 Delhi (CHZ),23/07 Hong Kong (CHM),Total points
1075,ALJAHADHMIY Hamdan,UAE,,,,,,,,0.0,0.0,,,,,,,,,,,0.0
1076,AGAMEZ LONDONO Stahelyn Jose,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1077,MAHAMUD Gonzalo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1077,SITA Matteo,DOM,,,,,,,,,,,,,0.0,,,,,,,0.0
1077,FERNANDEZ SARMIENTO Alvar,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1080,MAMMADOV Mirkhatai,AZE,,,,,,,,,,,,,,,,,,,0.0,0.0
1080,LIPPMAN Jake,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
1082,PERTUISOT Hugo,FRA,,,,,,,0.0,,0.0,,,,,,,,,,,0.0
1083,TSOURI MOHAMED LAROUSSI,TUN,,,,,,,,,0.0,,,,,,,,,,,0.0
1083,PANADERO NOCEDA Mario,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1083,ARNAO Jorge,PER,,,,,,,,,,,,,0.0,,,,,,,0.0
1083,ZHABAIKHANOV Arman,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1087,CANO JIMÉNEZ IVÁN DAVID,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1088,LAURON Sean Patrick,PHI,,,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0
1089,LEE Seunghyun,KOR,,,,,,,,,,,0.0,,,,,,,,,0.0
1089,MORENO JIMENEZ Alejandro,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1089,BENITEZ CALDERON Jesus,VEN,,,,,,,,,,,,,0.0,,,,,,,0.0
1092,CATALA ORENGO Joan,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1092,AVELLA DE LA ROSA Jeronimo,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1092,RAMIREZ QUINTERO Juan Diego,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1095,LIPPMAN Eli,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
1095,TODOROVSKI Matej,MKD,,,,,,,,,,,,,,,,,,,0.0,0.0
1095,GARCIA CALDERON Sergio,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1098,ZURITA Ignacio,CHI,,,,,,,,,,,,,0.0,,,,,,,0.0
1098,ESSOULI Joakim,FIN,,,,,,0.0,,,,,,,,,,,,,,0.0
1100,GUTIERREZ GALARZA Cesar David,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1100,HERRERO PASCUAL Eduardo,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1100,BARRIOS OLARTE Miguel Angel,COL,,,,,,,,,,,,,0.0,,,,,,,0.0
1103,MEDER Johnny,FIN,,,,,,0.0,,,,,,,,,,,,,,0.0
1104,BALCAZAR Jose Luis,ESP,,,,,,0.0,,,,,,,,,,,,,,0.0
1105,BALTABAY Nurmukhamed,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1106,RAHIMI HARDOROUDI Mohammad,IRI,,,,,,,,0.0,,,,,,,,,,,,0.0
1107,BALL LA HOOD Joel,NZL,,,,,,,0.0,,,,,,,0.0,,,,,,0.0
1108,ALFOUDARI Hassan,KUW,,,,,,,,,0.0,,,,,,,,,,,0.0
1108,WESOLOWSKI Mikolaj,POL,,,,,,,,0.0,,,,,,,,,,,,0.0
1110,NDJEKA Jesse,RSA,,,,,,,0.0,,,,,,,,,,,,,0.0
1110,REPIC Oliver,SRB,,,,,,,0.0,,,,,,,,,,,,,0.0
1112,MASENA Koketso,BOT,,,,,,,,,,,,,,,,,,,0.0,0.0
1112,RICUTA Laurentiu,ROU,,,,,,,0.0,,,,,,,,,,,,,0.0
1114,IBODULLAEV Asilbek,UZB,,,,,,,,0.0,,,,,,,,,,,,0.0
1114,TSAI Oscar,TPE,,,,,,,0.0,,,,,,,,,,,,,0.0
1116,CHUA Immanuel Jun Yi,SGP,,,,,,,,0.0,,,,,,,,,,,,0.0
1116,BILLARD Corentin Daniel Mahmoud,SEN,,,,,,,,,,,,,,,,,,,0.0,0.0
1116,ABD HADI Muhammad Amir Syzwan,MAS,,,,,,,,,,,,,,,,,,,0.0,0.0
1119,WAI Tsz Ho,HKG,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,0.0
1120,CUCOS Alex,CAN,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0
1121,MCARTHUR Samuel,NZL,,,,,,,,,,,,,,,,,,,0.0,0.0
1122,QIN Zhi Yuan,NZL,,,,,,,0.0,,0.0,,,,,,,,,,,0.0
1123,ANTOKHIN Arseniy,RUS,,,,,,,,0.0,,,,,,,,,,,,0.0
1124,ZHANUZAKOV Zhanarbek,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1125,MAURY Julien,FRA,,,,,,,0.0,0.0,,,,,,,,,,,,0.0
1126,STRYDOM Connor,NAM,,,,,,,,,,,,,,,,,,,0.0,0.0
1127,ISOOBA EDWARD,UGA,,,,,,,,,,,,,,,,,,,0.0,0.0
1128,KIM Timofey,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1129,MOHAMED Mayed,UAE,,,,,,,,0.0,,,,,,,,,,,,0.0
1130,ALLEGRE Paul,FRA,,,,,,,0.0,,,,,,,,,,,,,0.0
1131,ROHIT Rohit,IND,,,,,,,,,0.0,,0.0,,,,,,,,,0.0
1132,LUTYENS-HUMFREY Charlie,GBR,,,,,,,,,,,0.0,,,,,,,,,0.0
1133,FAVRE Aurele,SUI,,,,,,,0.0,,,,,,,,,,,,,0.0
1134,ALKHALDI Nawaf,KSA,,,,,,,,,0.0,,,,,,,,,,,0.0
1134,SIDOROV Vladimir,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1134,GRAHAM Elijah,AUS,,,,,,,0.0,,,,,,,,,,,,,0.0
1137,CHEN JUNJI,CHN,,,,,,,,0.0,,0.0,,,,,,,,,,0.0
1138,AL HAZAA Mohammed,QAT,,,,,,,,,0.0,,,,,,,,,,,0.0
1139,WANG Yat Sai Terry,HKG,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0
1140,PETER Aron,HUN,,,,,,,,,0.0,,,,,,,,,,,0.0
1141,NAIMOV Avezbek,UZB,,,,,,,,0.0,,,,,,,,,,,,0.0
1141,KHRISSANOV Peter,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
1143,ATEF Omar,EGY,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0
1144,DIMOV Bogdan,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1144,CAUCHY Eliot,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
1146,ALMHEIRI Masoud,UAE,,,,,,,,0.0,,,,,,,,,,,,0.0
1147,SHARMA Sanil,ISV,,,,,,,0.0,,,0.0,,,,,,,,,,0.0
1148,TYSHKO ILLIA,UKR,,,,,,,0.0,,,,,,,,,,,,,0.0
1148,YANG Zhixing,SGP,,,,,,,,0.0,,,,,,,,,,,,0.0
1150,OMERBAS Bartu,TUR,,,,,,,,,0.0,,,,,,,,,,,0.0
1151,VYAZIGIN Andrey,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1151,BARTHELEMY Arnaud,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
1153,BASSIL Mark,LBN,,,,,,,,,0.0,,,,,,,,,,,0.0
1154,AL-ZAIDI Muntadher,IRQ,,,,,,,,,0.0,,,,,,,,,,,0.0
1154,GAMIL Hamza,EGY,,,,,,,,0.0,,,,,,,,,,,,0.0
1156,MOAWAD Hossam,EGY,,,,,,,,0.0,0.0,,,,,,,,,,,0.0
1157,AL-MALIKI Hussein,IRQ,,,,,,,,,0.0,,,,,,,,,,,0.0
1158,AKYLBEKOV Aiturbek,KGZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1158,KROUPIS GEORGIOS,GRE,,,,,,,,,0.0,,,,,,,,,,,0.0
1160,ATAKOZUEV AIDIN,KGZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1160,ALBLOOSHI Omran,UAE,,,,,,,,0.0,,,,,,,,,,,,0.0
1162,LUKA Lukic Debakker,SLO,,,,,,,0.0,,,,,,,0.0,,,,,,0.0
1163,FEDOTOV Yakov,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1164,ALBLOOSHI Saleh,UAE,,,,,,,,0.0,,,,,,,,,,,,0.0
1164,ALIMOV Saidbilol,UZB,,,,,,,,,,,0.0,,,,,,,,,0.0
1166,DONG Haiyi,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
1166,NOSSOV Oleg,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1168,SALZER Matej,CZE,,,,,,,,,,0.0,,0.0,,,,,,,,0.0
1169,BAE Junho,KOR,,,,,,,,,,,0.0,,,,,,,,,0.0
1169,HUANG Yung Tung,TPE,,,,,,,0.0,,,,,,,,,,,,,0.0
1171,BELSELAH Khalid,UAE,,,,,,,,0.0,,,,,,,,,,,,0.0
1171,CHEN Zeyu Ryan,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
1173,YERUBAYEV Alibek,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1174,PENKIN Andrey,KAZ,,,,,,,,,,,0.0,,,,,,,,,0.0
1174,RZYCZNIAK Wojciech,POL,,,,,,,,0.0,,,,,,,,,,,,0.0
1176,DOYON-VERDON Gabriel,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
1176,PURONAS Titas,LTU,,,,,,,,,,,,0.0,,,,,,,,0.0
1178,ALOBEIDLI Mohamed,UAE,,,,,,,,0.0,,,,,,,,,,,,0.0
1179,KALAMINSKAS Jonas,LTU,,,,,,,,,,,,0.0,,,,,,,,0.0
1179,POWRIE Liam,AUS,,,,,,,0.0,,,,,,,,,,,,,0.0
1179,GOULD Samuel,AUS,,,,,,,0.0,,,,,,,,,,,,,0.0
1182,KHALIKOV Murodzhan,TJK,,,,,,,,0.0,,,,,,,,,,,,0.0
1182,GALIK Balazs,HUN,,,,,,,,,,,,0.0,,,,,,,,0.0
1182,SOHIL Sufyan Waheed,IND,,,,,,,,0.0,,,,,,,,,,,,0.0
1182,WANG Zhixing,CAN,,,,,,,0.0,,,,,,,,,,,,,0.0
1186,SALM Juhan,EST,,,,,,,,,,,,,,0.0,,,,,,0.0
1186,DONDISCH Ilan,MEX,,,,,,,0.0,,,,,,,,,,,,,0.0
1188,LIPTON Michael,ISR,,,,,,,0.0,,,,,,,,,,,,,0.0
1189,ALSUWAIDI KHALIFA,UAE,,,,,,,,0.0,,,,,,,,,,,,0.0
1190,MIZRAHI MICHAEL,ISR,,,,,,,,,,0.0,,,,,,,,,,0.0
1191,HUMMEL Rudy,GER,,,,,,,,,,0.0,,,,,,,,,,0.0
1192,FUKUSHIMA Kosei,JPN,,,,,,,,,,,,,,0.0,,,,,,0.0
1193,KLUGHARDT Hubert,POL,,,,,,,,,,,,0.0,,,,,,,,0.0
1194,CALDITO CHAN Caleb,PAN,,,,,,,,,,,,,,0.0,,,,,,0.0
1195,WINGERTER Nolan,FRA,,,,,,,,,,,,,,0.0,,,,,,0.0
1196,KILIC Kaan,TUR,,,,,,,,,,0.0,,,,,,,,,,0.0
1197,GALLI Elia Pietro,BRA,,,,,,,,,,0.0,,,,,,,,,,0.0
1198,SHEUM Bron,SGP,,,,,,,,,,,,,,0.0,,,,,,0.0
1199,PEI Haoran,CHN,,,,,,,,,,,,,,0.0,,,,,,0.0
1200,KOTALA Jan,CZE,,,,,,,,,,0.0,,0.0,,,,,,,,0.0
1201,KUUSK Sebastian,EST,,,,,,,,,,,,0.0,,,,,,,,0.0
1202,ELG Elwin,SWE,,,,,,,,,,0.0,,,,,,,,,,0.0
1203,DOBIASCH Martin,AUT,,,,,,,,,,0.0,,0.0,,0.0,,,,,,0.0
1204,VAGNORIUS Paulius,LTU,,,,,,,,,,,,0.0,,,,,,,,0.0
1205,GOLAB Alexander,CAN,,,,,,,,,,0.0,,0.0,,0.0,,,,,,0.0
1206,RAMOS Pedro,BRA,,,,,,,,,,0.0,,,,,,,,,,0.0
1207,GUNBILEG Todsetsen,MGL,,,,,,,,,,,,0.0,,0.0,,,,,,0.0
1208,LIMAN Bental,ISR,,,,,,,,,,,,,,0.0,,,,,,0.0
1209,KLAUS Robert,CZE,,,,,,,,,,,,0.0,,,,,,,,0.0
1210,GOMEZ NG Juan Jose,PAN,,,,,,,,,,,,,,0.0,,,,,,0.0
1211,KAMINER Leo Rui,ISR,,,,,,,,,,,,0.0,,,,,,,,0.0
1212,OGUT Cinar,TUR,,,,,,,,,,,,0.0,,,,,,,,0.0
1213,BEN AMI Yonatan Michael,ISR,,,,,,,,,,0.0,,,,,,,,,,0.0
1214,GRASBECK Gunnar,FIN,,,,,,,,,,0.0,,,,,,,,,,0.0
1214,LOBO Mauricio,MEX,,,,,,,,,,,,,,0.0,,,,,,0.0
1216,TICKLE Sidney,NZL,,,,,,,,,,,,,,0.0,,,,,,0.0
1217,CHAN Jin Kai,SGP,,,,,,,,,,,,0.0,,,,,,,,0.0
1217,ERGUN Telat Ulas,TUR,,,,,,,,,,,,0.0,,,,,,,,0.0
1219,OLMEZ Adil Doruk Alp,TUR,,,,,,,,,,,,0.0,,,,,,,,0.0
1220,LAI Hin Yeung Darius,HKG,,,,,,,,,,0.0,,,,,,,,,,0.0
1221,LEHTINEN Kasper,FIN,,,,,,,,,,0.0,,,,,,,,,,0.0
1222,ALBINALI Yousef,KSA,,,,,,,,,,,,,,0.0,,,,,,0.0
1223,KOVACKI Milos,AUT,,,,,,,,,,0.0,,,,,,,,,,0.0
1224,ZARA Tibet Toros,TUR,,,,,,,,,,0.0,,,,,,,,,,0.0
1225,BIOLETTI Charles,NZL,,,,,,,,,,0.0,,,,,,,,,,0.0
1225,GHIVOLY Shai,ISR,,,,,,,,,,0.0,,,,,,,,,,0.0
1227,LAU Kwan Chun,HKG,,,,,,,,,,0.0,,,,,,,,,,0.0
1228,FRANK Kilian,CZE,,,,,,,,,,0.0,,,,,,,,,,0.0
